positive,airline flown change representatives comfortable flying experience
neutral,time flying media bags thanks
negative,whenever airline delayed late flight
positive,rep kicked naelah represents team thank
neutral,bring reservation online using flight booking code
negative,flying cancelled flight flights
positive,beautiful design cool book ticket secure
neutral,random distribution elevate avatars bet kitty disproportionate share
negative,disappointing experience shared business traveler meet neverflyvirgin
positive,love team running gate e9 las tonight waited delayed flight kept entertaining
neutral,flying va life happens am trying change trip jperhi home page
negative,trouble adding flight wife booked elevate account help
positive,thanks outstanding crew moved mountains home san francisco
neutral,hi elevate account recent flight add flight account
negative,tv video disappointed cancelled flightled flight flights jfk saturday
positive,absolute team customer service time fly delighted thank
neutral,trying add boy prince ressie sf thursday lax
negative,landed lax hour late flight bag check business travel friendly nomorevirgin
positive,completely awesome experience month nonstop thanks awesome flight depart time vabeatsjblue
neutral,scheduled sfo dal flight changed due weather looks flight
negative,website btw website user experience time redesign
positive,rock watch oscars redcarpet oscars oscars2015
neutral,getaway deals lots cool cities cheapflights farecompare
negative,check add bag website tried desktop mobile
positive,customer service rep irmafromdallas takes
neutral,getaway deals lots cool cities cheapflights farecompare
negative,scanned passengers leave plane told remove bag class bin uncomfortable
positive,amazing staff super helpful ran princesshalf spoiled
neutral,provide complimentary upgrades class available seats
negative,phone call flight reservation
positive,flight home dc sunset globe backtowinter refreshed
neutral,flight sfo cabo san lucas arrived
negative,doing website useless answering phone
positive,thank checking tickets purchased customer happy
neutral,flt lax sooner midnight monday customer service
negative,traveler miss flight late flight check bag missed morning appointments lost business sfo2lax
positive,rt met match status airline upgrade
neutral,special assistance travel kids infant priority boarding
negative,direct flight unexpected layover vegas fuel peeps bought vegas flight sneaky
positive,love dancing school dance revue
neutral,flight love field sfo definitely cancelled flightled monday february
negative,late flight bag check lost business missed flight am apt people flight exp
positive,thank quick response apparently faster sitting hold
neutral,flight lga dfw time
negative,called service line hung awesome sarcasm
positive,cool picture virginamerica plane wing
neutral,drivers license expired little month fly friday morning using expired license
negative,site tripping trying check getting plain text version am reluctant enter card info
positive,goodness people field amazing pressure texas beatstheothers crisis please fly ny
neutral,plans include austin dallas route topnews arab emirates
negative,concerned am fly plane delayed due tech stop
positive,thanks flight la pilots job landing snow la seriously
neutral,beats eps views takes southwestair va luv business daily
negative,brand reputation built tech response compatible website
positive,thanks awesome support guys
neutral,begin flights april ketr
negative,flight flight booking site totally folks
positive,twitter team guys killed rescheduling asap thank
neutral,love policy damaged luggage
negative,customer service min delay connecting passengers va370
positive,putting deals pdx las las pdx
neutral,please flights sjc choice fly southwest vegas
negative,change flight thats scheduled hours min wait time phone im calling intern
positive,wish afford fly friday home love airline
neutral,issue finding missing item plane help airport plane headed
negative,failing customers check process link tsa
positive,rt watch nominated films feet meetthefleet oscars
neutral,met status airline upgrade
negative,terrible hotel hotline sorry
positive,airline based silicon disruption fcmostinnovative incubator
neutral,nervous flight dc lax getting cancelled flightled sent dm help
negative,assistance yesterday cancelled flightled flight hotel hotline shame
positive,looking forward watching oscars flight home tomorrow bubbly
neutral,please york monday afternoon
negative,register service dog class ticket sfo dulles phone queue hour pls advise
positive,hahaha guys amazing love
neutral,ipad iphone clicking checkin link email received flight
negative,book seats flights buy check creates frustrated
positive,classiq luv virgin america greetingz
neutral,updates flight jfk lax
negative,paying extra bucks rt luggage afford hiring extra hand lame
positive,thanks customer service helping travel sorted
neutral,love girls inspired pilots rt free woaw event march abq
negative,please provide status flight cant imagine time web indicates dude weather dallas
positive,thanks sweet route rockies airplanemodewason
neutral,beats expectations shares santa cruz sentinel
negative,paid premium fly country cancelled flight flight offer check fee upgrade love sad
positive,love music blasting gate boston waiting flight sanfrancisco iced
neutral,plans start flying direct dal las
negative,book seat infant giving option seat
positive,thank easy itinerary shift impending weather quick painless free
neutral,grand budapest hotel oscarscountdown
negative,understand dm answer damaged luggage policy
positive,doing job adding little improve air travel experience thank
neutral,shares rise q4 financial results usa
negative,mean policy destroyed luggage
positive,thanks gate checking baggage flight giving boarding sweet
neutral,adds pillows instead seats class arms race
negative,flight booking web site giving error contact phone phone minute wait
positive,inflight team makes experience
neutral,flying virgin fight mayweatherpacquiao
negative,reschedule cancelled flightled flights online change button greyed
positive,cutest salt pepper shaker guys
neutral,guys start flying paris
negative,rang wait book ticket vendor fix site
positive,loved wait return flight watch inflight safety video sorrynotsorry
neutral,policy flying surgery am waiting answer tell doctor
negative,flight email tomorrow unacceptable
positive,routes planned newark love flying guys hope
neutral,told check airline regulation contacted
negative,flight lga cancelled flighted stuck dallas called reschedule told flight
positive,mean probably inappropriate board
neutral,posts consecutive net profit
negative,pairings include red white offered redwineisbetter
positive,free drinks flight free promo
neutral,results handily exceed forecasts
negative,site little wonked look tried browsers css
positive,thanks taking care rockstars travel
neutral,applied position wondering guys received application
negative,disappointed agent designated silver status check line closed assist pasengers
positive,thanks lovely soft travel san sfo
neutral,achieves profitability despite revenue pressure
negative,normal receive reply central baggage baggageissues smh
positive,adore am looking forward flight austin weeks
neutral,positive outlook increased competition
negative,logan airport waiting checkin flight checkin desk
positive,glad mentioned virgin flight transformative experience
neutral,weather delays weeks jfk bos dca
negative,congrats business ewr fuck fl1289 clincher
positive,time flying virgin sanfrancisco thanks smooth ride easily fav
neutral,pilot expect choppy landing nyc due gusty winds temperature degrees windchill
negative,applied weeks ago heard flying week disappointed
positive,promoting product southwest recommend noneother
neutral,help urgent treatment battling cancer help flights
negative,shame va people spend money stranded cities airlines landing reimburse
positive,love guys pls direct routes las
neutral,start service hawaii sanfrancisco biztravel
negative,bad takes days via confirmation email inquired weeks claim
positive,squared picked soon tweeted tweeted sooner
neutral,please contact portfolio left flight vx jfk sfo tonite seat returned call
negative,flight bos las tomorrow cancelled flightled wait times hour rebook airline
positive,course fun happy chinese
neutral,help flight jkf tonight seat left portfolio
negative,lot apologies thrown customers sad thanks worst airline
positive,flight booking flight week san chance gift promo code love guys
neutral,seattle bound wifey duffle vday
negative,flight stuff wrong worst flight
positive,grandma bday greeting flight stewardess eastern airlines
neutral,debbie baldwin rockstar performance safety demo evening vx919 las2sfo bestcrew sherocks
negative,trying book flight guys website lose business
positive,bought tix atx dallas route thanks adding love yr airline yr website transactional site
neutral,thanks follow ourprincess freyasfund usa bandie looking
negative,cancelled flightlation notice left options fly ps driving la red eye mon kids
positive,credit late flight flight yesterday service wow unexpected
neutral,nice lofty view silverstatus
negative,trying book flight site
positive,safety video loved cross country flight livewelltraveled sytycd
neutral,help ourprincess help usa
negative,flights flying boston tomorrow home cancelled flightled flight
positive,omg nonstop dallas austin
neutral,flight booking flight uphold status match taxes ticket count earned status statusmatch virginamerica
negative,stink flight cancelled flighted psp jfk notification ability rebook disappointed expected
positive,thanks austin trips dca
neutral,jump dallas austin market
negative,seats row recline mention website soreback
positive,giants virgin america match heaven
neutral,help left blazer kooples jacket bag row seat gate t3 lax flight sfo
negative,flight delayed hours la due mechanical handle pros tossed free drink
positive,luv ur people charge herbal tea black tea caffeine drinker
neutral,partners checkout mobile payment method help boost mobile conversion rates etailwest payments visa
negative,cancelled flight flights precipitation scared
positive,thank excited expansion destinations spread
neutral,digging swanky pink mood lighting flight nyc sfo cabaret singer
negative,guys charged reschedule flight cancelled flighted refusing refund deal
positive,am dreaming route dallas mean houston
neutral,receipt asap please help
negative,access website safari iphone mac ipad iphone add passbook
positive,love taking consumers win biz competes
neutral,adds pillows instead seats class arms race
negative,mobile site broken checkin
positive,flying love austin excellent news
neutral,receipt flight change send
negative,looking forward flight rescheduled diehardvirgin
positive,am flight artisanal cheese wine pairing
neutral,ceo southwest jetblue strayed low cost model
negative,cancelled flight flight vx413 sec delayed airport cancelled email call reschedule
positive,lot flights lot faster strong tailwind
neutral,brilliant brisk am boston cue vx363
negative,change airline dc able land dc cost ugh
positive,minutes elevate silver upgrade window freeneversucks
neutral,atlantic ploughs lone furrow middleeast
negative,looking forward flight cancelled flightled subsequent
positive,rough trip luckily virginamerica flight weather
neutral,atlantic ploughs lone furrow middleeast
negative,gonna deal dallas dc deal dc dallas sad
positive,perfect flight planes sun visors stay carriers raise
neutral,atlantic ploughs lone furrow middleeast
negative,hold times call center bit
positive,rt steel faster wifi saying sciencebehindtheexperience
neutral,guys starting flights guess road tripping feb
negative,trying reset password email arrives help
positive,love dancing little richard cool beans
neutral,develop app favorite airline
negative,reason delay departure vx jfk afternoon
positive,passbook love email future
neutral,passbook virgin mobile mexico integrate
negative,todays flight palm springs ca jfk ny cancelled flightled
positive,thanks sharing added site
neutral,helping step tindertips tinderchamp
negative,css site please fix site unusable
positive,plans short haul airline europe defiantly fly guys
neutral,adds love field route
negative,flight vegas boston checked online bag count register fix somehow
positive,return calls day myvxexperience
neutral,tweet cancelled fee flight rebook affiliates afiliates
negative,hi trying website tried browsers continues
positive,loyal driving nyc pa fly virgin cut philly flights
neutral,start a319 flights dallas austin avgeek
negative,passenger flt assaulted flown trust banned crew filed report
positive,customer service left industry
neutral,nice expanding texas forget sandiego love flights
negative,current bug website departure selecting destination city
positive,wish fly fargo fares amazings
neutral,miss nerdbird san jose
negative,luggage severely wheel coming baggage claim san luggage agent miranda help
positive,newark home la folks ewr incredible letsgohome
neutral,vx plane nerdbird austin getting nerd love
negative,requested window seat confirmed window stuck middle seat treat silver
positive,flying lax sfo looking awesome movie lineup actually wish haul
neutral,please add frequency pdx portland
negative,wtf paid direct flight purpose stop fuel exhausted frequent flier
positive,thanks taking care happy customer
neutral,help flights battling cancer treatment
negative,wrong website safari iphone
positive,thanks filled luck common
neutral,virgin america fly direct seattle nyc boston
negative,boo refunding seat upgrade fee buy
positive,follow please airline beautifull
neutral,club virgin bumping york
negative,moved seat notice seat cabin select row disappointed
positive,wonderful rosetta gate agent flight dan ase wasappreciated
neutral,application ios looking virgin mexico
negative,contacted central baggage sent dm charging dress lost suitcase help
positive,thanks issue guess sit awhile
neutral,heard virgin mobile hotspot
negative,website getting lot errors past minutes
positive,airport snow removal method folks
neutral,dear virgin customer stranded sf days accommodate
negative,checked flight sfo lax told atlantic flying club gold
positive,thank am able claim interim expenses cost stuff
neutral,change main cabin main cabin select paying change fee penalty
negative,husband drinks via screen
positive,flew united month experience
neutral,sign bonuses enroll elevate
negative,soo guys leave seatbelt light flight barely call turbulence
positive,wc coach bird landed ahead schedule wc stat
neutral,morning question regarding elevate flights dm
negative,funny story website broken missing javascript stylesheets checkin process dislike
positive,rozana newark lovely helpful choosekind
neutral,wondering guys recieved dm able potentially respond asap
negative,trying check ct flight tmm desktop website sort caching sos
positive,despite bag newark informative email tracking updates
neutral,international flight glasgow orlando newark mins
negative,guys links emails broken
positive,wow deal plus seats available easy change customer happy
neutral,understand tough airport serious risk accident steep price
negative,lost luggage days ago flight vx lax iad calling day stuff
positive,unrivalled access california flights uk airports nonstop connections
neutral,flying weeks airport departure international domestic ta
negative,flight booking section website broken chrome wanna look
positive,kudos cancelled flightling flights dfw morning united usually panic
neutral,submitted response link sent
negative,looks broken link assets
positive,awesome plane flight extremely nice captain steve connolly
neutral,yes david allan send email case8719519
negative,manage itinerary section website broken
positive,united flight saipan guam plane operational
neutral,yes paper voucher january
negative,check site looks time loads
positive,thank cheese platter abundance entertainment options time flew
neutral,chase united club pass son pass
negative,carriers half price round trip fare am stunned
positive,thank trying days set
neutral,lost voucher miami aeroport jan
negative,wtf happening pdx late flight march sfo
positive,definitely bag lost sent airport am happy customer
neutral,gee caring ppl int trusted adult daughter
negative,luggage gone filed paperwork promised resolution response central luggage
positive,thanx followed emailed ticket voucher unitedairlines care
neutral,clients hr layover iah claim recheck luggage care
negative,requested mileage challenge status weeks ago online heard help
positive,definitely trip remember season seat pays
neutral,am trying loaner seat car seat illegal according safety regulations
negative,trying book tickets nyc facing super fun broken styling worry trying
positive,flew united aus cancun intl flight
neutral,kewl overhead bin row inop love abbreve
negative,applied status match feb confirmation email day news guys dropped ball late flightly
positive,flight ua3576 gate b1 tell ray somehow flight iah wait
neutral,thanks concern contact customer care return australia
negative,sent couple messages email provided avail try cheers
positive,wait book ticket thanks jp life sabe
neutral,cancelled flighted flight rebook added flight drive denver
negative,experience hoping ws forced check carry empty cabin space board
positive,guys continue impress houston
neutral,announcement pre boarding addresses mobility disability requires travel lot stuff preboard
negative,wjere luggage slow lax
positive,upgrade list fly tomorrow time statusmatchpaidoff
neutral,airline trouble winter getting customer service contact negotiate resolutions
negative,spoke representative offered solution am loyal customer flies
positive,refunded vacation free night sleep dia
neutral,email address reach dm
negative,am deeply disappointed birthday promo applied trip booked mere days received email
positive,thanks reminder fun ride
neutral,book fly unaccompanied minor
negative,happened direct flights looking connecting help dontdothistome
positive,terrific thanks looking forward ua tomorrow flight vancouver
neutral,pls help baby hannah life saving surgeries
negative,embossed badges patches superior ones currently using
positive,despite shaky connections looks home tonight job touch
neutral,bet wont honour mine ey
negative,vx399 jfk la dirty plane standards
positive,thanks karen salisbury iah amazing customer found bag lost ua1516
neutral,tourist super tides tide century french
negative,flight vx399 headed la jfk dirtiest va plane sad airline
positive,left comment customer care thanks contacting
neutral,probably cheaper airfare ticket flight leaving hours
negative,avis rental continue button website book car tried times phone
positive,thanks spoke reservations team reinstated flight thanks
neutral,please explain process happens property found plane passengers leave heathrow
negative,currently minute hold cust service add lap child reservation
positive,captain behalf front office welcome board heard funnycaptain
neutral,response bot improvement easily attained class service worth
negative,comenity bank please change constant bank
positive,awesome book christmas vacatinn december devalue mileage plus
neutral,booked award tix thaiairways seeing united flight booking
negative,submitted status match request flying monday look accelerate
positive,thank secured night thx helpful customer service rep dorns thanked goodenoughmother
neutral,flight dfw ord currently advisory dfw affected weather
negative,pulling hair trying book flight site iphone computer help
positive,thank responding quickly helpful
neutral,flying class leg chicago flight china am able lounge chicago
negative,help support ticket days thank
positive,thank care experience app flight changed
neutral,filed claim calling updates
negative,laptop seat paid premium
positive,exactly fits premier access boarding return ticket doing yrs
neutral,luck finalizing reservation information please else confirm asap thx
negative,am seat paid extra
positive,look please follow dm confirmation assistance
neutral,local united malaysia local united airlines kuala lumpur kul
negative,fyi email address contact password reset emails exist emails bounce
positive,thanks definitely person line absurd
neutral,send urgent message via bg0kwm narayanan please respond asap local united tel kul
negative,status match weeks gone week hope flt count towards requirement cust svc
positive,ok submitted thanks opportunity feedback
neutral,guys getting a380s anytime soon
negative,website sucks donkey dicks
positive,thanks ms winston assisting phone baggage claim issue extra
neutral,unfortunately tarmac definitely missing ride gonnabealongnight
negative,crap channels pay watch uk tv
positive,flight sfo den basically time
neutral,time check flight ua80 manchester newark
negative,iphone app using waste paper
positive,thanks program system assigned seats pairs available changed
neutral,follow please happily dm link share travel plans publicly
negative,seat entertainment system accept credit cards apostrophe surname apostrophefail
positive,please robin ewr premiere desk helping earlier flight huge thanks
neutral,ruined days rain change fee nearly cost original flight help
negative,vx lga slots instead adding aus makes
positive,integrate app activate surf
neutral,post disappointment frequent united flyer simple bad apple spoil bunch
negative,sad learn fly sfo phl hope
positive,thank kindness agents beyond stranded family home
neutral,please help am ethiopia adopting child existing confirmation add child reservation
negative,kinda sucked earphone jack flight look future passengers
positive,look beauty dc united airlines
neutral,onboad volt outlets planes
negative,poor experience computer seat malfunction stuck missing meeting san diego
positive,hear thankyou greatly appreciate replies feel settled
neutral,monitor mileage travel patterns change transition easier
negative,tried offered charge additional ticket stranded thurs time time
positive,counter agents rdu deserve medal thankyou
neutral,rebooting chicago dispatch system tired sitting planes
negative,bad experience cake extortion carry items
positive,thank literally called preboarding ran
neutral,aircraft closest gate flight closest gate chicago
negative,spend hours worrying items carryon carry plane lock bag
positive,brilliant thankyou classed carryon
neutral,mom left kindle flight burgundy light seat
negative,told bins plane bags
positive,thank listening compliant doing appreciate
neutral,decisions love try service offer status match
negative,thanks flight lax jfk nightmare forcing check carry bag gate
positive,wow answered customer usairwaysfail
neutral,info amenity kits included status match aa
negative,lots flights book site phone waiting minutes
positive,outsource united customers loving outsource outsource outsource
neutral,flights lie flat seating stl pdx date march
negative,taking fly home dallas shit
positive,thank follow tho otherwise dm
neutral,hi direct flights houston reno begin days march
negative,steel flies cities frequency
positive,thank help pick bags aspen airport coming flight911
neutral,assist current flight status dfw tomorrow
negative,started flight scolding using overhead bin offered person seated
positive,love help getting ewr airline connections thx
neutral,luggage comment am referencing photo attached flight jac
negative,airlines cancelled flighting flights bos helping customers home virgin saying
positive,confirmed crisis beers missed
neutral,greetings ua club idea air canada lounge yvr flying ua tomorrow
negative,virgin bos weather exposed actual cus serv model flight booking virgin
positive,understood tried reaching sooner
neutral,sent thank rt please dm confirmation reflight booking thank
negative,travelers affected boston storm shocked complete apathy customers
positive,den b44 agent amazing mpagent check sucks
neutral,deal provide voucher overnight am cozy floor ohare gross helpmeplease anyonethere
negative,umm reason contact contact definitive answer
positive,traveling injured gate agent chicago awesome helping ty roadwarrior
neutral,please upload march entertainment listing
negative,trying change advance hours online earlier change fees
positive,solved finally picked time called thanks response dulles
neutral,seen message mcdonnell douglas dc model hear read goodnight
negative,mood lighting reclining seat kickin
positive,customer experience via twitter huge
neutral,girl gotta flight name change bought mean ex boyfriend trip
negative,flight scheduled departure time plane gate update delay
positive,thanks looking getting via dm glad hear bag finally delivered thanks
neutral,thank signed notifications watch
negative,cancelled flightlation fees waived ticket booked reps help
positive,flew sdf atl tampa delta left arrived crew helpful wifi
neutral,love austin tonight wish wait til tomorrow morning
negative,refund word via dm please resolve issue cancelled flightled flight useless trip
positive,thank recognize terri dulles raleigh flight
neutral,flight dfw tuesday advance notice cancelled flightled
negative,delayed due lack crew delayed line deicing improve service united
positive,michelle t1 ord train staff treat customers refreshing pleasure deal
neutral,direct flights belfast intl newark resume winter break thanks
negative,express connections hugely popular
positive,ewr agent barbara fabulous example cust serv pleasure talking
neutral,yes awful weather appears home
negative,gate agent hooked alternate flights prevent constant issues rock
positive,hi jp help awesome tsa representative able care thank
neutral,person currently bettween gates lax
negative,worst nonrefundable class tickets oh select system auto selects economy
positive,staff efficient solutions freaked little limbo air
neutral,thank quick response dm follow
negative,buy tix days flight transfer tix flawed security logic flawed customer service
positive,wanna ride united love airplane
neutral,phone baggage claim lax mom left phone called saying
negative,start claim weeks unrealistic am supposed car seat
positive,charm bag waiting carousel baggage claim welldone goodflight friendlysky
neutral,honor absurdly low mistake fares
negative,car seat lost reimburse pair shoes necessity child
positive,looking reason travel quote
neutral,miles rtb europe multiple destination stop mileage diff
negative,totally sucks cousin phl
positive,sincerely thanking pilot flight braving snow getting home amongst cancelled flightlations
neutral,thank appreciate prompt passengers doing
negative,beginning feb called united send voucher mail tiredofwaiting
positive,ua6259 wait tail ua5525
neutral,hi guys enquires email address please thanks david
negative,internet am emailing executives company maybe respond timely manner
positive,bummer thank quick response
neutral,am buying yo own seat legs intl trip car seat required allowed child sit takeoff
negative,thats weak ya hey
positive,advance reboot yes thanks
neutral,question wait time baggage ua6366
negative,flew company united didnt earlier flight
positive,compliment ur phone agent jeanette reflight booking rdu sea thru sfo connecting flight thru ewr cancelled flightled
neutral,booking travel writers trip am hosting happy cute pjs aa
negative,am trying book awards september flights award seats availab
positive,social media team oscarnight
neutral,dm confirmation g8cvwj please kailua tonight thank
negative,drive total hours own bag explain debacle talk
positive,claudia iah terminal travel assistance set service thank
neutral,time flying medical info looking practical adapted seat cushion allowed
negative,told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue
positive,denver baggage handlers totally impressed lungs barely run connect bags den
neutral,hi im flying connecting time lax time collect bag recheck av
negative,preferred security line anymore tsa pull partner platinum spoiled
positive,thanks time united lounge welcomed
neutral,received confirmation via email confirmed ticketed flight
negative,newarkliberty airport indicate terminals flyingainteasy
positive,cancelled flight flight anytime night
neutral,speaking united customer service rep night flight confirming ok reservation
negative,yes am newly married trying update name preexisting international easy
positive,thanks updating hour delay exact atl
neutral,unitedairlines ord abq anytime hours
negative,united refuse reissue lost voucher plane due mechanics badcustomerservice
positive,resolved hour ground somehow system reset takeoff appreciate quick
neutral,people mci del preferably jet airways segment anytime december
negative,run instructed shattered computer
positive,add earlier tweet daughters bday thank hard happen
neutral,operated newark zurich replacing instead till avgeek
negative,yes agents minutes agents rude thankfully ladan nice
positive,guy named otis ord customerservice able bag upgraded
neutral,phone reservations venezuela thanks
negative,iah charlotte baggage claim rep latrice customerservice existent ignored customer inappropriately touched customer
positive,wonderful job wife daughter pgh orlando flight delayed luggage
neutral,request ticket change twitter
negative,loved respond website form business seats bad
positive,nope seats due raise hands move fast
neutral,start daily flights newark milan malpensa replacing instead avgeek
negative,refund flight vouchers flight airline expense hour drive inconvenient
positive,look beauty united airlines hope beauty
neutral,start daily flights newark frankfurt replacing avgeek
negative,received call infant car seat am supposed child
positive,lovely day attendants ua5168 beyond exceptional givethoseladiesraise
neutral,left item seatback ua1260 call dca item submitted lost found report
negative,sitting ground time waiting tiredofthis
positive,thanks gate agent extraordinaire seau fong helping boise home nyc sometime
neutral,campus visit hour wearing clothes
negative,guys book planes concern travel else moving forward
positive,thank amazing airline treat customers guys
neutral,adopting yr child ethiopia flying add grr add child reservation costs thx
negative,measly appreciate loyal customers wait tarmac ua116 unacceptable
positive,customer service kiosk able help thanks following
neutral,morning class upgrades available ua1619 feb rsw ewr seats please
negative,boarding pass austrian airlines codeshare flight rebook incls hour layover am stuck outside sec
positive,nope set thx checking
neutral,dm sent requested follow dm thanks
negative,received flights united truly breaks guitars unitedbreaksguitars wantmymoneyback
positive,denver ap gate b91 santa agent ashley amazing job angry traveler kudos
neutral,ktn boarding tsa applying boarding pass
negative,flew telaviv paid third suitcase besides impolite service
positive,fine automatically changed connecting flight miss
neutral,sitting middle time hope
negative,bag colo springs am disabled search unfamiliar airport look bag outcome
positive,thx response finally min wait talked
neutral,chance flight delayed nervous driving dfw weather drop brother
negative,shame flex tickets transfer rules calling neurosurgery icu
positive,thx conf mqxc64 mpwnc2 help appreciated
neutral,line week left anymore time explorer card
negative,denver handle baggage colo springs call help
positive,flight pvd plane smoothest landing
neutral,news departure flight ua51
negative,guys serious training customer service options guys handle ur mistakes
positive,thanks couple minutes ago service flight btw please pass team flight
neutral,send note revenue management team bf gf seats
negative,found avoided plague told supervisor
positive,agents weekend trip thank
neutral,basically leave hawaii late flight evening philly late flight monday night trips tues
negative,zcc82u cancelled flight flight advance connect flight reschedule link helping gf waited months
positive,probably dependable airline western hemisphere belong star alliance skyteam
neutral,yes please drive hours
negative,addition flight delayed hour arriving destination hrs late flight
positive,amazing hospitality helpfulness anthony lastella staff def flying united
neutral,help add ktn reservation plz
negative,travel booked thru united dept okc ticket agent willing help connection lax
positive,touched miami nicely united
neutral,whats ua lax newark
negative,upset disability services told employees carrying medical equipment rude
positive,thanks effort earliest complaint refund am losing business day tomorrow
neutral,ethiopia adopting child flight home add grr late flight change existing
negative,thnx quick reply assist intl grp considerable inconvenience
positive,nicole quito airport care week handled lost baggage seat changes pat
neutral,ua flight sfo lax carry gate overhead bins empty
negative,wont transfer flight ticket accompany yr active military mom emergency brain surgery
positive,thanks leaving own row flight
neutral,booked flight view reservation mi connected name changed
negative,weeks late flightr received miles mileageplus gift card starbucks card handed
positive,ty am sorry hear please follow dm details transpired
neutral,travelling melbourne bogota tomorrow
negative,complained guy checked luggage throwing bags unfortunate coincidence hope
positive,thank flying mess iad san diego
neutral,hi flight booking my8yb4 name clarita jaramillo mejia thank
negative,okc ticket agent roger helpful intl travel supervisor help
positive,thank person houston flight routing newark nj sfo
neutral,airlines told cabin door closed plane times tonight
negative,mobile apps construction ground os category expensive
positive,bag reference id ind43728m thanks looking
neutral,tell jet airways award availability
negative,fail united ticket agents okc helpful care american
positive,met agent care thx reply
neutral,chances flight ewr pit cancelled flighted tomorrow
negative,sent email customer care telling break sincerely hope help
positive,thanks epic service outstanding crew
neutral,rcvd promo booked flight silver status extended dont flier sent didnt id
negative,silly flying delta united club staff attendants surly unhelpful bothered pesky folk
positive,sent dm thank acknowledgment
neutral,booked compare garbage class
negative,phone call flight reservation
positive,relaxing space drink global
neutral,educate bohol volunteer staff help kids buy plane ticket help
negative,fix missing buddies bday negligence attempt
positive,thanks please try company approve business class travel
neutral,albuquerque nm usa cebu philippines providing educational help kids help
negative,am believe help customer service fix
positive,tonight fred flintstone happy upgrade class
neutral,plane thoughtful prob deserved
negative,helped baggage service desk bc tsa screening fll bags bag ewr
positive,thanks arranged move earlier flight gate seat assignment super nice agent gate c4 ord
neutral,coming clutch finally taking home
negative,mobile boarding pass disappeared phone standing line board time week hmm
positive,wait issue resolved contact customer service comment wait time thanks contacting
neutral,left ipad flight hear claim submitted
negative,explain eager flight attendant trying vision guide
positive,yes fixed broken ramp
neutral,buying seat class request sit
negative,details servicedog book flight crew read
positive,kurt crew ua1745 amazing birthday kindness hope fly
neutral,stand list ase ord poor person aspen standby twitter
negative,tried available bogota rude houston stuck hours guys
positive,million miler ua flying week observe gate flight crews committed operations
neutral,add traveler ticket flight booking
negative,worst2unitedflightsever ua las iad mechanical land fix delayed
positive,thank compensating lost bags fly unitedairlines
neutral,flight dfw iad cancelled flightled mechanical rental car origin
negative,ua outbound flight thurs delayed delay worst2unitedflightsever
positive,boyfriend prom loudspeaker flight day thank
neutral,help iah sfo earlier tonight
negative,worst2unitedflightsever ua1429 iad las mechanical switched aircraft delayed
positive,flight amazing flight am kidding service
neutral,evening ua assist issue via dm
negative,logan boarding gong due lax carry enforcement bins coats bags
positive,upgrade class nice fix earlier mistake thank
neutral,help free tickets convince
negative,blackmailed paying extra return ticket nullified san francisco airport terrible service rep scam
positive,rhonda atlanta airport redeemed guys straightened
neutral,faa invest near miss runway
negative,disappointed didnt honor credit ur mistakes taking business elsewhere
positive,hi looks connection delayed
neutral,am ua elite gold ua chase pres plus credit card platinum
